axis	s2	s4	delta%	spread_base	spread_head
nop	9340105474	9440100064	+1.071	10849	2483
assign	19540364528	19640362422	+0.512	119	3829
rexxcps	17897273683	17913870300	+0.093	17462	2790
varlookup	14842900478	14880899104	+0.256	2785	787
emptyloop	9285886558	9310889685	+0.269	9573	11868
arith	11519340444	11522838548	+0.030	5151	436
dispatch	20471078616	20476073378	+0.024	5862	1909
compound	9234403068	9244398878	+0.108	5286	4136
