axis	s2	s3	delta%	spread_base	spread_head
nop	9340100780	9339094007	-0.011	16538	1726
assign	19540367438	19239361461	-1.540	1332	2886
rexxcps	17897267556	17921781144	+0.137	1183	3657
varlookup	14842897650	14747897568	-0.640	862	4783
emptyloop	9285887481	9260885138	-0.269	1358	8706
arith	11519337696	11514836922	-0.039	6329	3599
dispatch	20471079152	20471078528	-0.000	2894	1104
compound	9234398110	9229396534	-0.054	5367	4119
