axis	base	s2	delta%	spread_base	spread_head
nop	10040098902	9340106478	-6.972	3545	12743
assign	20240368588	19540366283	-3.458	10180	5670
rexxcps	18017680045	17897276261	-0.668	7244	18420
varlookup	15108900993	14842898293	-1.761	13856	326
emptyloop	9460884587	9285884489	-1.850	852	5478
arith	11543842890	11519337007	-0.212	12150	588
dispatch	20556080056	20471078416	-0.414	1377	11391
compound	9304400794	9234396950	-0.752	6782	3021
