table	jmp	idx	variant	target	line	rexxcps	varlookup	arith	emptyloop	dispatch	compound
0x403ac	1e24fd	13	WhenTest	0x1e2c1d	drive.rs:?	0	0	0	0	0	0
0x403ac	1e24fd	14	EndBranch	0x1e3677	drive.rs:?	0	0	0	0	0	0
0x403ac	1e24fd	15	EndWhen	0x1e3786	mod.rs:?	0	0	0	0	0	0
0x403ac	1e24fd	16	EnterWhen	0x1e3885	drive.rs:?	0	0	0	0	0	0
0x403ac	1e24fd	17	EnterOtherwise	0x1e3b25	drive.rs:?	0	0	0	0	0	0
0x403ac	1e24fd	18	Const	0x1e2d4c	drive.rs:877	0	0	0	0	0	0
0x403ac	1e24fd	19	LoadConstant	0x1e2783	drive.rs:916	1120000	0	0	0	0	0
0x403ac	1e24fd	20	TraceLiteral	0x1e25a0	drive.rs:964	0	0	0	0	0	0
0x403ac	1e24fd	21	Load	0x1e2671	drive.rs:985	1120000	0	0	0	0	0
0x403ac	1e24fd	22	TraceRead	0x1e2600	drive.rs:1052	0	0	0	0	0	0
0x403ac	1e24fd	23	Arith	0x1e2e2e	drive.rs:1086	560000	0	0	0	0	0
0x403ac	1e24fd	24	Binary	0x1e2726	drive.rs:1147	560000	0	0	0	0	0
0x403ac	1e24fd	25	TraceOperator	0x1e25ce	drive.rs:1181	0	0	0	0	0	0
0x403ac	1e24fd	26	Prefix	0x1e2bbd	drive.rs:1208	0	0	0	0	0	0
0x403ac	1e24fd	27	TracePrefix	0x1e2636	drive.rs:1239	0	0	0	0	0	0
0x403ac	1e24fd	28	Store	0x1e29a6	drive.rs:?	560000	0	0	0	0	0
0x403ac	1e24fd	29	Say	0x1e27fc	drive.rs:1398	0	0	0	0	0	0
0x403ac	1e24fd	30	Signal	0x1e3a90	run.rs:?	0	0	0	0	0	0
0x403ac	1e24fd	31	Parse	0x1e36d9	mod.rs:?	0	0	0	0	0	0
0x403ac	1e24fd	32	Return	0x1e38e7	drive.rs:1449	0	0	0	0	0	0
0x403ac	1e24fd	33	Queue	0x1e2952	drive.rs:1508	0	0	0	0	0	0
0x403ac	1e24fd	34	Call	0x1e3b87	mod.rs:?	0	0	0	0	0	0
0x403ac	1e24fd	35	CallNamed	0x1e3c9d	drive.rs:1580	0	0	0	0	0	0
0x403ac	1e24fd	36	Message	0x1e362b	drive.rs:?	0	0	0	0	0	0
0x403ac	1e24fd	37	Expose	0x1e391d	roots.rs:?	0	0	0	0	0	0
0x403ac	1e24fd	38	Exec	0x1e35c5	drive.rs:1630	0	0	0	0	0	0
0x403ac	1e24fd	39	Escape	0x1e37e8	mod.rs:?	0	0	0	0	0	0
0x403ac	1e24fd	40	Jump	0x1e35af	drive.rs:?	0	0	0	0	0	0
0x403ac	1e24fd	41	JumpUnless	0x1e2ddf	drive.rs:1752	0	0	0	0	0	0
0x403ac	1e24fd	42	ConditionJump	0x1e2b5f	drive.rs:1704	560000	0	0	0	0	0
0x40300	1e2524	0	Clause	0x1e39b9	rexx_run.c1f58fc545b59ff3-cgu.0:?	0	0	0	0	0	0
0x40300	1e2524	1	TraceKeyword	0x1e290e	drive.rs:1809	0	0	0	0	0	0
0x40300	1e2524	2	LoopHeaderValue	0x1e2842	drive.rs:1822	0	0	0	0	0	0
0x40300	1e2524	3	LoopRun	0x1e3a1b	mod.rs:?	0	0	0	0	0	0
0x40300	1e2524	4	LoopNext	0x1e3957	drive.rs:?	0	0	0	0	0	0
0x40300	1e2524	5	TraceClause	0x1e2af6	drive.rs:675	0	0	0	0	0	0
0x40300	1e2524	6	EvalExpr	0x1e2ab8	drive.rs:847	0	0	0	0	0	0
0x40300	1e2524	7	CallExpr	0x1e2a5d	drive.rs:719	0	0	0	0	0	0
0x40300	1e2524	8	PushArg	0x1e2b37	drive.rs:761	0	0	0	0	0	0
0x40300	1e2524	9	TraceArgument	0x1e2526	drive.rs:?	3360000	0	0	0	0	0
0x40300	1e2524	10	CallArgs	0x1e2ce3	drive.rs:792	0	0	0	0	0	0
