table	jmp	idx	variant	target	line	rexxcps	varlookup	arith	emptyloop	dispatch	compound
0x3e8a0	13d361	16	EnterWhen	0x13e738	drive.rs:?	0	0	0	0	0	0
0x3e8a0	13d361	17	EnterOtherwise	0x13e9ef	drive.rs:?	0	0	0	0	0	0
0x3e8a0	13d361	18	Const	0x13dbd0	drive.rs:877	5060417	6	6	7	6	6
0x3e8a0	13d361	19	LoadConstant	0x13d5ee	drive.rs:916	9880016	19000009	2500009	8	5000009	5000013
0x3e8a0	13d361	20	TraceLiteral	0x13d40b	drive.rs:964	0	0	0	0	0	0
0x3e8a0	13d361	21	Load	0x13d4dc	drive.rs:985	7560421	38000006	4000006	5	5000006	15001007
0x3e8a0	13d361	22	TraceRead	0x13d46b	drive.rs:1052	0	0	0	0	0	0
0x3e8a0	13d361	23	Arith	0x13dcb2	drive.rs:1086	1380205	19000000	4000000	0	5000000	10000501
0x3e8a0	13d361	24	Binary	0x13d591	drive.rs:1147	7860011	0	0	0	0	0
0x3e8a0	13d361	25	TraceOperator	0x13d439	drive.rs:1181	0	0	0	0	0	0
0x3e8a0	13d361	26	Prefix	0x13da39	drive.rs:1208	0	0	0	0	0	0
0x3e8a0	13d361	27	TracePrefix	0x13d4a1	drive.rs:1239	0	0	0	0	0	0
0x3e8a0	13d361	28	Store	0x13d811	drive.rs:?	3120256	38000048	2500048	47	5000049	10000550
0x3e8a0	13d361	29	Say	0x13d667	drive.rs:1398	7	1	1	1	1	1
0x3e8a0	13d361	30	Signal	0x13e957	run.rs:?	1	0	0	0	0	0
0x3e8a0	13d361	31	Parse	0x13e57e	mod.rs:?	2240002	0	0	0	0	0
0x3e8a0	13d361	32	Return	0x13e79a	drive.rs:1449	280007	6	6	6	7	6
0x3e8a0	13d361	33	Queue	0x13d7bd	drive.rs:1508	0	0	0	0	0	0
0x3e8a0	13d361	34	Call	0x13ea51	mod.rs:?	0	0	0	0	0	0
0x3e8a0	13d361	35	CallNamed	0x13eb52	drive.rs:1580	280202	2	2	2	2	2
0x3e8a0	13d361	36	Message	0x13e4b0	drive.rs:?	118	118	118	118	5000118	118
0x3e8a0	13d361	37	Expose	0x13e7d0	roots.rs:?	6	6	6	6	5000008	6
0x3e8a0	13d361	38	Exec	0x13e444	drive.rs:1630	560207	7	1000007	7	7	7
0x3e8a0	13d361	39	Escape	0x13e690	mod.rs:?	560000	0	0	0	0	0
0x3e8a0	13d361	40	Jump	0x13e42e	drive.rs:?	0	0	0	0	0	0
0x3e8a0	13d361	41	JumpUnless	0x13dc63	drive.rs:1752	0	0	0	0	0	0
0x3e8a0	13d361	42	ConditionJump	0x13d9db	drive.rs:1704	5900006	5	5	5	5	5
0x3e7f4	13d387	0	Clause	0x13e872	rexx_run.c1f58fc545b59ff3-cgu.0:?	0	0	0	0	0	0
0x3e7f4	13d387	1	TraceKeyword	0x13d779	drive.rs:1809	860101	0	0	0	0	0
0x3e7f4	13d387	2	LoopHeaderValue	0x13d6ad	drive.rs:1822	1160207	5	5	5	5	7
0x3e7f4	13d387	3	LoopRun	0x13e8d4	mod.rs:?	1140205	4	4	4	4	5
0x3e7f4	13d387	4	LoopNext	0x13e810	drive.rs:?	0	0	0	0	0	0
0x3e7f4	13d387	5	TraceClause	0x13d96f	drive.rs:675	0	0	0	0	0	0
0x3e7f4	13d387	6	EvalExpr	0x13d92e	drive.rs:847	45	45	45	45	47	45
0x3e7f4	13d387	7	CallExpr	0x13d8cb	drive.rs:719	0	0	0	0	0	0
0x3e7f4	13d387	8	PushArg	0x13d9b3	drive.rs:761	4760417	12	12	12	12	12
0x3e7f4	13d387	9	TraceArgument	0x13d389	drive.rs:?	38460944	5	5	5	5	5
0x3e7f4	13d387	10	CallArgs	0x13db69	drive.rs:792	1960207	5	5	5	5	5
0x3e7f4	13d387	11	TraceFunction	0x13d389	drive.rs:?	38460944	5	5	5	5	5
0x3e7f4	13d387	12	SelectCaseText	0x13e5cc	roots.rs:?	0	0	0	0	0	0
0x3e7f4	13d387	13	WhenTest	0x13da95	drive.rs:1764	0	0	0	0	0	0
0x3e7f4	13d387	14	EndBranch	0x13e51c	drive.rs:?	0	0	0	0	0	0
0x3e7f4	13d387	15	EndWhen	0x13e62e	mod.rs:?	0	0	0	0	0	0
0x3e7f4	13d387	16	EnterWhen	0x13e738	drive.rs:?	0	0	0	0	0	0
0x3e7f4	13d387	17	EnterOtherwise	0x13e9ef	drive.rs:?	0	0	0	0	0	0
0x3e7f4	13d387	18	Const	0x13dbc7	drive.rs:877	5060417	6	6	7	6	6
0x3e7f4	13d387	19	LoadConstant	0x13d5e5	drive.rs:916	9880016	19000009	2500009	8	5000009	5000013
0x3e7f4	13d387	20	TraceLiteral	0x13d389	drive.rs:?	38460944	5	5	5	5	5
0x3e7f4	13d387	21	Load	0x13d4d3	drive.rs:985	7560421	38000006	4000006	5	5000006	15001007
0x3e7f4	13d387	22	TraceRead	0x13d389	drive.rs:?	38460944	5	5	5	5	5
0x3e7f4	13d387	23	Arith	0x13dca9	drive.rs:1086	1380205	19000000	4000000	0	5000000	10000501
0x3e7f4	13d387	24	Binary	0x13d588	drive.rs:1147	7860011	0	0	0	0	0
