1.arith.base	12395122681	630563701	331180	11764227800	-
1.arith.full	12475091671	629418966	331130	11845341575	-
1.arith.fullni	12440891621	608727036	331180	11831833405	-
1.arith.half	12461602475	629434521	331180	11831836774	-
1.compound.base	10325539713	410758294	331180	9914450239	-
1.compound.full	10570714106	410929872	331130	10159453104	-
1.compound.fullni	10531151888	421370645	331180	10109450063	-
1.compound.half	10557862935	433083943	331180	10124447812	-
1.dispatch.base	23063975400	2352560963	331180	20711083257	-
1.dispatch.full	23073992508	2352580298	331130	20721081080	-
1.dispatch.fullni	23163983665	2352571884	331180	20811080601	-
1.dispatch.half	23179005676	2352584978	331180	20826089518	-
1.emptyloop.base	9748589271	62376506	331180	9685881585	-
1.emptyloop.full	9998591750	62373938	331130	9935886682	-
1.emptyloop.fullni	9873590481	62368311	331180	9810890990	-
1.emptyloop.half	9873595048	62374897	331180	9810888971	-
1.rexxcps.base	20183354859	1544285367	331196	18638738296	-
1.rexxcps.full	20372680768	1546238951	331146	18826110671	-
1.rexxcps.fullni	20359679523	1546223719	331196	18813124608	-
1.rexxcps.half	20355310615	1542607229	331196	18812372190	-
1.varlookup.base	17185611969	62381461	331180	17122899328	-
1.varlookup.full	17983618170	62374782	331130	17920912258	-
1.varlookup.fullni	17774607064	62377703	331180	17711898181	-
1.varlookup.half	17831615338	62380095	331180	17768904063	-
2.arith.base	12321715421	557159329	331180	11764224912	-
2.arith.full	12457484874	611815903	331130	11845337841	-
2.arith.fullni	12460430867	628267989	331180	11831831698	-
2.arith.half	12461542143	629371591	331180	11831839372	-
2.compound.base	10335236050	420472727	331180	9914432143	-
2.compound.full	10573226695	413438318	331130	10159457247	-
2.compound.fullni	10525032297	415252592	331180	10109448525	-
2.compound.half	10536974738	412199705	331180	10124443853	-
2.dispatch.base	23063993719	2352583253	331180	20711079286	-
2.dispatch.full	23073995922	2352579755	331130	20721085037	-
2.dispatch.fullni	23163990921	2352583169	331180	20811076572	-
2.dispatch.half	23178995095	2352583883	331180	20826080032	-
2.emptyloop.base	9748589121	62369948	331180	9685887993	-
2.emptyloop.full	9998587400	62372328	331130	9935883942	-
2.emptyloop.fullni	9873586980	62371246	331180	9810884554	-
2.emptyloop.half	9873599514	62379441	331180	9810888893	-
2.rexxcps.base	20183305207	1544240809	331196	18638733202	-
2.rexxcps.full	20373710069	1547273526	331146	18826105397	-
2.rexxcps.fullni	20359753646	1546301261	331196	18813121189	-
2.rexxcps.half	20357115460	1544420930	331196	18812363334	-
2.varlookup.base	17185607714	62377315	331180	17122899219	-
2.varlookup.full	17983593593	62352357	331130	17920910106	-
2.varlookup.fullni	17774621541	62381830	331180	17711908531	-
2.varlookup.half	17831610584	62382121	331180	17768897283	-
