748b2f0679dc	rexxcps	base-rexx-run.rexxcps.r1	rc=0	summary=20181960883	selfsum=20181960883	exlibc=18638738739
16fc472f27d5	rexxcps	head-rexx-run.rexxcps.r1	rc=0	summary=22004014384	selfsum=22004014384	exlibc=20510341038
748b2f0679dc	varlookup	base-rexx-run.varlookup.r1	rc=0	summary=17185601519	selfsum=17185601519	exlibc=17122896561
16fc472f27d5	varlookup	head-rexx-run.varlookup.r1	rc=0	summary=19408603160	selfsum=19408603160	exlibc=19345911028
748b2f0679dc	arith	base-rexx-run.arith.r1	rc=0	summary=12323487888	selfsum=12323487888	exlibc=11764232143
16fc472f27d5	arith	head-rexx-run.arith.r1	rc=0	summary=12673971589	selfsum=12673971589	exlibc=12070606977
748b2f0679dc	emptyloop	base-rexx-run.emptyloop.r1	rc=0	summary=9748567316	selfsum=9748567316	exlibc=9685883501
16fc472f27d5	emptyloop	head-rexx-run.emptyloop.r1	rc=0	summary=10423603394	selfsum=10423603394	exlibc=10360892201
748b2f0679dc	dispatch	base-rexx-run.dispatch.r1	rc=0	summary=23103989338	selfsum=23103989338	exlibc=20711078775
16fc472f27d5	dispatch	head-rexx-run.dispatch.r1	rc=0	summary=23453995931	selfsum=23453995931	exlibc=21101082139
748b2f0679dc	compound	base-rexx-run.compound.r1	rc=0	summary=10326954935	selfsum=10326954935	exlibc=9914432246
16fc472f27d5	compound	head-rexx-run.compound.r1	rc=0	summary=11106552824	selfsum=11106552824	exlibc=10684485340
