axis	c2	c3	delta%	spread_base	spread_head
nop	9840101754	9142097956	-7.093	361	4439
assign	22440367868	22542364577	+0.455	894	2358
rexxcps	18139277434	18167816228	+0.157	18192	9971
varlookup	16001904904	16172900508	+1.069	3532	4100
emptyloop	9410885380	9285881853	-1.328	3769	2432
arith	11623840898	11643842275	+0.172	1065	9048
dispatch	20636077112	20656080249	+0.097	29	2768
compound	9509421330	9569421645	+0.631	6069	8480
