c4	nop	r1	10102851622	62424113	331354	10040096155	-	rc=0
c4	nop	r2	10102854869	62423051	331354	10040100464	-	rc=0
c4	assign	r1	21203197367	62499190	331354	21140366823	-	rc=0
c4	assign	r2	21203174771	62475646	331354	21140367771	-	rc=0
c4	rexxcps	r1	19580195345	1544010704	331384	18035853257	-	rc=0
c4	rexxcps	r2	19581078014	1544888634	331384	18035857996	-	rc=0
c4	varlookup	r1	15513619579	62390317	331340	15450897922	-	rc=0
c4	varlookup	r2	15513617283	62388269	331340	15450897674	-	rc=0
c4	emptyloop	r1	9523584572	62372886	331340	9460880346	-	rc=0
c4	emptyloop	r2	9523590613	62371274	331340	9460887999	-	rc=0
c4	arith	r1	12197315986	630645528	331340	11566339118	-	rc=0
c4	arith	r2	12196098389	629426242	331340	11566340807	-	rc=0
c4	dispatch	r1	22949002613	2352592061	331354	20596079198	-	rc=0
c4	dispatch	r2	22949001299	2352592115	331354	20596077830	-	rc=0
c4	compound	r1	9782826049	433086442	331354	9349408253	-	rc=0
c4	compound	r2	9760481599	410740645	331354	9349409600	-	rc=0
c6	nop	r1	10102852812	62420939	331354	10040100519	-	rc=0
c6	nop	r2	10102861373	62426143	331354	10040103876	-	rc=0
c6	assign	r1	20303195487	62498322	331354	20240365811	-	rc=0
c6	assign	r2	20303200709	62499869	331354	20240369486	-	rc=0
c6	rexxcps	r1	19562216537	1544211865	331384	18017673288	-	rc=0
c6	rexxcps	r2	19561423518	1543415649	331384	18017676485	-	rc=0
c6	varlookup	r1	15171612188	62380521	331340	15108900327	-	rc=0
c6	varlookup	r2	15171612636	62380906	331340	15108900390	-	rc=0
c6	emptyloop	r1	9523596170	62377771	331340	9460887059	-	rc=0
c6	emptyloop	r2	9523602490	62381740	331340	9460889410	-	rc=0
c6	arith	r1	12151795698	607622848	331340	11543841510	-	rc=0
c6	arith	r2	12174260420	630081827	331340	11543847253	-	rc=0
c6	dispatch	r1	22908975892	2352568331	331354	20556076207	-	rc=0
c6	dispatch	r2	22909001424	2352590197	331354	20556079873	-	rc=0
c6	compound	r1	9715120171	410385127	331354	9304403690	-	rc=0
c6	compound	r2	9717831902	413096873	331354	9304403675	-	rc=0
