axis	base	c6	delta%	spread_base	spread_head
nop	10540100344	10040100248	-4.744	5016	3057
assign	23440362254	20240363278	-13.652	7211	2519
rexxcps	18328368836	18017675768	-1.695	2413	5329
varlookup	16457902077	15108897888	-8.197	4036	4599
emptyloop	9585886980	9460885172	-1.304	4313	7017
arith	11674842654	11543837780	-1.122	575	6233
dispatch	20691083588	20556079038	-0.652	2295	843
compound	9664426975	9304398613	-3.725	976	1408
