axis	c1	c2	delta%	spread_base	spread_head
nop	10340100684	9840102284	-4.836	6467	7829
assign	22940362839	22440364666	-2.180	1930	3707
rexxcps	18171606422	18141652593	-0.165	11687	4761450
varlookup	16191898038	16001900516	-1.173	1041	3218
emptyloop	9535884046	9410890293	-1.311	5631	14288
arith	11641335172	11623844816	-0.150	80	5123
dispatch	20641078838	20636078702	-0.024	5275	788
compound	9559420443	9509414556	-0.523	10162	5921
