axis	c4	c5	delta%	spread_base	spread_head
nop	10040098135	9140106832	-8.964	416	5779
assign	21140364006	21340362234	+0.946	10587	5953
rexxcps	18035863354	18061875416	+0.144	4421	4764777
varlookup	15450898762	15621898448	+1.107	8115	1793
emptyloop	9460888474	9235894772	-2.378	14331	11572
arith	11566337979	11578343714	+0.104	2698	3793
dispatch	20596083530	20656077442	+0.291	2417	6887
compound	9349408082	9419415923	+0.749	4357	15346
