axis	c6	c9	delta%	spread_base	spread_head
nop	10040100266	10340101552	+2.988	3903	5716
assign	20240368784	20540360986	+1.482	1197	2378
rexxcps	18017675969	18070004754	+0.290	7612	6437
varlookup	15108903588	15222897012	+0.754	7185	5174
emptyloop	9460881815	9535883710	+0.793	3102	1855
arith	11543840998	11554350054	+0.091	5865	13508
dispatch	20556080858	20601081318	+0.219	4883	7237
compound	9304400715	9334410004	+0.323	72	2377
