axis	c2	c4	delta%	spread_base	spread_head
nop	9840102072	10040101763	+2.032	2655	4162
assign	22440369196	21140360098	-5.793	7460	3425
rexxcps	18139279230	18035859583	-0.570	2276	14858
varlookup	16001900963	15450900592	-3.443	7542	263
emptyloop	9410882176	9460887224	+0.531	1031	6724
arith	11623838850	11566340172	-0.495	2049	6910
dispatch	20636078899	20596076084	-0.194	3906	3430
compound	9509415642	9349405869	-1.683	869	2964
