base	nop	r1	10602853579	62419386	331341	10540102852	-	rc=0
base	nop	r2	10602832004	62402827	331341	10540097836	-	rc=0
base	assign	r1	23503166167	62476163	331355	23440358649	-	rc=0
base	assign	r2	23503195318	62498103	331355	23440365860	-	rc=0
base	rexxcps	r1	19874415301	1545713874	331385	18328370042	-	rc=0
base	rexxcps	r2	19872899899	1544200885	331385	18328367629	-	rc=0
base	varlookup	r1	16520621287	62389873	331355	16457900059	-	rc=0
base	varlookup	r2	16520619155	62383705	331355	16457904095	-	rc=0
base	emptyloop	r1	9648591645	62375466	331355	9585884824	-	rc=0
base	emptyloop	r2	9648596683	62376191	331355	9585889137	-	rc=0
base	arith	r1	12282528764	607354467	331355	11674842942	-	rc=0
base	arith	r2	12283915790	608742068	331355	11674842367	-	rc=0
base	dispatch	r1	23034009728	2342593637	331355	20691084736	-	rc=0
base	dispatch	r2	23034011791	2342597995	331355	20691082441	-	rc=0
base	compound	r1	10076058243	411299425	331355	9664427463	-	rc=0
base	compound	r2	10087014486	422256644	331355	9664426487	-	rc=0
c6	nop	r1	10102855087	62421956	331354	10040101777	-	rc=0
c6	nop	r2	10102853053	62422979	331354	10040098720	-	rc=0
c6	assign	r1	20303175253	62479362	331354	20240364537	-	rc=0
c6	assign	r2	20303190306	62496934	331354	20240362018	-	rc=0
c6	rexxcps	r1	19560712789	1542702973	331384	18017678432	-	rc=0
c6	rexxcps	r2	19562937651	1544933164	331384	18017673103	-	rc=0
c6	varlookup	r1	15171618592	62387064	331340	15108900188	-	rc=0
c6	varlookup	r2	15171608654	62381725	331340	15108895589	-	rc=0
c6	emptyloop	r1	9523579472	62366469	331340	9460881663	-	rc=0
c6	emptyloop	r2	9523602921	62382901	331340	9460888680	-	rc=0
c6	arith	r1	12175892832	631720595	331340	11543840897	-	rc=0
c6	arith	r2	12102211091	558045087	331340	11543834664	-	rc=0
c6	dispatch	r1	22909004487	2352593674	331354	20556079459	-	rc=0
c6	dispatch	r2	22949001744	2392591774	331354	20556078616	-	rc=0
c6	compound	r1	9726989446	422260183	331354	9304397909	-	rc=0
c6	compound	r2	9717832311	413101640	331354	9304399317	-	rc=0
