axis	c4	c6	delta%	spread_base	spread_head
nop	10040098310	10040102198	+0.000	4309	3357
assign	21140367297	20240367648	-4.257	948	3675
rexxcps	18035855626	18017674886	-0.101	4739	3197
varlookup	15450897798	15108900358	-2.213	248	63
emptyloop	9460884172	9460888234	+0.000	7653	2351
arith	11566339962	11543844382	-0.194	1689	5743
dispatch	20596078514	20556078040	-0.194	1368	3666
compound	9349408926	9304403682	-0.481	1347	15
