axis	c6	c7	delta%	spread_base	spread_head
nop	10040100968	9640099206	-3.984	1251	248
assign	20240365754	19840360980	-1.976	11805	2869
rexxcps	18017679884	18023760815	+0.034	903	3672
varlookup	15108900054	15032899116	-0.503	8365	9029
emptyloop	9460884894	9360886328	-1.057	5600	8859
arith	11543842552	11539341188	-0.039	4229	4674
dispatch	20556079196	20526079482	-0.146	7896	4014
compound	9304407554	9304403607	-0.000	1365	6678
