1.assign_lit.ir	0	219847700	62395066	331557	157121077	-
1.assign_lit.oracle	0	121762838	3461828	6173358	112127652	-
1.assign_lit.tree-walker	0	310967874	67542928	331543	243093403	-
1.assign_var.ir	0	227843418	62391876	331557	165119985	-
1.assign_var.oracle	0	123962685	3461713	6173358	114327614	-
1.assign_var.tree-walker	0	309370238	64146870	331543	244891825	-
1.bif_length.ir	0	307248016	62394917	331557	244521542	-
1.bif_length.oracle	0	170970698	3462025	6178106	161330567	-
1.bif_length.tree-walker	0	414192750	64165206	331543	349696001	-
1.call_r.ir	0	592424461	110172459	331557	481920445	-
1.call_r.oracle	0	294072008	23065036	6180592	264826380	-
1.call_r.tree-walker	0	645964735	110142535	331543	535490657	-
1.concat.ir	0	295245488	71992361	331557	222921570	-
1.concat.oracle	0	182602473	12462302	6176812	163963359	-
1.concat.tree-walker	0	408399111	73765611	331543	334301957	-
1.ctrl2.ir	0	235243523	62390463	331543	172521517	-
1.ctrl2.oracle	0	198392026	5661804	6173372	186556850	-
1.ctrl2.tree-walker	0	233960368	62339506	331557	171289305	-
1.ctrlfill.ir	0	511544044	141606965	331557	369605522	-
1.ctrlfill.oracle	0	610015000	82587027	6192244	521235729	-
1.ctrlfill.tree-walker	0	547463191	141551508	331543	405580140	-
1.ctrl.ir	0	179437655	62390864	331557	116715234	-
1.ctrl.oracle	0	104107555	3461398	6173384	94472773	-
1.ctrl.tree-walker	0	178787826	62368575	331543	116087708	-
1.if_eq.ir	0	324234418	66574989	331543	257327886	-
1.if_eq.oracle	0	159179836	7662447	6182363	145335026	-
1.if_eq.tree-walker	0	403413490	66571334	331557	336510599	-
1.incr.ir	0	254854890	62397018	331557	192126315	-
1.incr.oracle	0	168590762	5661300	6177556	156751906	-
1.incr.tree-walker	0	372988099	64164841	331543	308491715	-
1.mul.ir	0	450263266	78238894	331543	371692829	-
1.mul.oracle	0	236808476	11062418	6181464	219564594	-
1.mul.tree-walker	0	596986987	83391254	331557	513264176	-
1.nop.ir	0	200643334	62392570	331543	137919221	-
1.nop.oracle	0	110761353	3461624	6174096	101125633	-
1.nop.tree-walker	0	234556577	62336291	331557	171888729	-
1.parse_var.ir	0	397430832	71975102	331543	325124187	-
1.parse_var.oracle	0	319277279	19663435	6179582	293434262	-
1.parse_var.tree-walker	0	418802486	71971528	331557	346499401	-
1.stem_read.ir	0	653239673	148421914	331543	504486216	-
1.stem_read.oracle	0	803763636	150161765	6196202	647405669	-
1.stem_read.tree-walker	0	767986699	150003598	331557	617651544	-
1.stem_store.ir	0	455714904	141592932	331557	313790415	-
1.stem_store.oracle	0	508773371	86134736	6192218	416446417	-
1.stem_store.tree-walker	0	492243401	141546044	331543	350365814	-
2.assign_lit.ir	0	219843676	62394570	331557	157117549	-
2.assign_lit.oracle	0	121762838	3461828	6173358	112127652	-
2.assign_lit.tree-walker	0	310966363	67540825	331543	243093995	-
2.assign_var.ir	0	227850269	62390247	331557	165128465	-
2.assign_var.oracle	0	123962685	3461713	6173358	114327614	-
2.assign_var.tree-walker	0	309366451	64141121	331543	244893787	-
2.bif_length.ir	0	307256232	62398983	331557	244525692	-
2.bif_length.oracle	0	170970698	3462025	6178106	161330567	-
2.bif_length.tree-walker	0	414171689	64143170	331543	349696976	-
2.call_r.ir	0	592441662	110191325	331557	481918780	-
2.call_r.oracle	0	294072008	23065036	6180592	264826380	-
2.call_r.tree-walker	0	645963789	110140255	331543	535491991	-
2.concat.ir	0	295230535	71976206	331557	222922772	-
2.concat.oracle	0	182602473	12462302	6176812	163963359	-
2.concat.tree-walker	0	408367797	73739152	331543	334297102	-
2.ctrl2.ir	0	235240474	62391905	331543	172517026	-
2.ctrl2.oracle	0	198392026	5661804	6173372	186556850	-
2.ctrl2.tree-walker	0	233990412	62369347	331557	171289508	-
2.ctrlfill.ir	0	511555990	141616945	331557	369607488	-
2.ctrlfill.oracle	0	610015000	82587027	6192244	521235729	-
2.ctrlfill.tree-walker	0	547484963	141579061	331543	405574359	-
2.ctrl.ir	0	179409957	62362169	331557	116716231	-
2.ctrl.oracle	0	104107555	3461398	6173384	94472773	-
2.ctrl.tree-walker	0	178761008	62341177	331543	116088288	-
2.if_eq.ir	0	324254111	66596556	331543	257326012	-
2.if_eq.oracle	0	159179836	7662447	6182363	145335026	-
2.if_eq.tree-walker	0	403372076	66541955	331557	336498564	-
2.incr.ir	0	254843174	62392001	331557	192119616	-
2.incr.oracle	0	168590762	5661300	6177556	156751906	-
2.incr.tree-walker	0	372969535	64143867	331543	308494125	-
2.mul.ir	0	450267723	78242617	331543	371693563	-
2.mul.oracle	0	236808476	11062418	6181464	219564594	-
2.mul.tree-walker	0	597008887	83405715	331557	513271615	-
2.nop.ir	0	200641395	62391084	331543	137918768	-
2.nop.oracle	0	110761353	3461624	6174096	101125633	-
2.nop.tree-walker	0	234556668	62335259	331557	171889852	-
2.parse_var.ir	0	397460424	72002124	331543	325126757	-
2.parse_var.oracle	0	319277279	19663435	6179582	293434262	-
2.parse_var.tree-walker	0	418798133	71964916	331557	346501660	-
2.stem_read.ir	0	652960959	148139176	331543	504490240	-
2.stem_read.oracle	0	803763636	150161765	6196202	647405669	-
2.stem_read.tree-walker	0	767814458	149824049	331557	617658852	-
2.stem_store.ir	0	455710822	141582914	331557	313796351	-
2.stem_store.oracle	0	508773371	86134736	6192218	416446417	-
2.stem_store.tree-walker	0	492267714	141564377	331543	350371794	-
