1.assign_var.noinline	0	299983978	64168232	331557	235484189	-
1.assign_var.tw	0	309357392	64136982	331557	244888853	-
1.call_r.noinline	0	618579896	110166334	331557	508082005	-
1.call_r.tw	0	645982050	110161223	331557	535489270	-
1.ctrl2.noinline	0	233168585	62361415	331557	170475613	-
1.ctrl2.tw	0	233984979	62363122	331557	171290300	-
1.ctrl.noinline	0	178343353	62328462	331557	115683334	-
1.ctrl.tw	0	178764960	62334239	331557	116099164	-
1.if_eq.noinline	0	396558048	67736429	331557	328490062	-
1.if_eq.tw	0	403368245	66535928	331557	336500760	-
1.incr.noinline	0	363560365	64138272	331557	299090536	-
1.incr.tw	0	372966497	64135893	331557	308499047	-
1.nop.noinline	0	225144266	62333094	331557	162479615	-
1.nop.tw	0	234592223	62363326	331557	171897340	-
2.assign_var.noinline	0	299975935	64145668	331557	235498710	-
2.assign_var.tw	0	309364617	64139573	331557	244893487	-
2.call_r.noinline	0	618578775	110162157	331557	508085061	-
2.call_r.tw	0	645997256	110169008	331557	535496691	-
2.ctrl2.noinline	0	233144028	62332774	331557	170479697	-
2.ctrl2.tw	0	233956811	62331378	331557	171293876	-
2.ctrl.noinline	0	178371629	62359759	331557	115680313	-
2.ctrl.tw	0	178789432	62363323	331557	116094552	-
2.if_eq.noinline	0	396563006	67736938	331557	328494511	-
2.if_eq.tw	0	403396098	66566028	331557	336498513	-
2.incr.noinline	0	363580802	64164641	331557	299084604	-
2.incr.tw	0	372994890	64165308	331557	308498025	-
2.nop.noinline	0	225173961	62362745	331557	162479659	-
2.nop.tw	0	234557875	62335740	331557	171890578	-
