task	commit	axis	build	scope	arm	size	instrument	value_median	value_min	value_max	value_rounds
7-M2-control	ced6c209	varlookup	head>control	across_builds	ir	large	instructions:u	1.015877	1.015877	1.015877	5
7-M2-control	ced6c209	varlookup	head>control	across_builds	tw	small	cycles:u	0.990958	0.981040	1.010676	5
7-M2-control	ced6c209	varlookup	head>control	across_builds	ir	small	cycles:u	1.023253	1.012286	1.025915	5
7-M2-control	ced6c209	varlookup	head>control	across_builds	tw	large	cycles:u	0.986171	0.984778	0.990815	5
7-M2-control	ced6c209	varlookup	head>control	across_builds	ir	large	cycles:u	1.023707	1.011707	1.033214	5
7-M2-control	ced6c209	emptyloop	head	arm_ratio	ir/tw	small	instructions:u	1.065962	1.065962	1.065962	5
7-M2-control	ced6c209	emptyloop	head	absolute	tw	small	instructions:u	37900660109.000000	37900659137.000000	37900660375.000000	5
7-M2-control	ced6c209	emptyloop	head	absolute	ir	small	instructions:u	40400668841.000000	40400668682.000000	40400669043.000000	5
7-M2-control	ced6c209	emptyloop	head	arm_ratio	ir/tw	large	instructions:u	1.065963	1.065963	1.065963	5
7-M2-control	ced6c209	emptyloop	head	absolute	tw	large	instructions:u	75800710365.000000	75800710073.000000	75800710598.000000	5
7-M2-control	ced6c209	emptyloop	head	absolute	ir	large	instructions:u	80800719502.000000	80800718718.000000	80800720157.000000	5
7-M2-control	ced6c209	emptyloop	head	per_pass	tw	-	instructions:u	1516.002009	1516.001991	1516.002053	5
7-M2-control	ced6c209	emptyloop	head	fixed	tw	-	instructions:u	610145.000000	607804.000000	610590.000000	5
7-M2-control	ced6c209	emptyloop	head	per_pass	ir	-	instructions:u	1616.002030	1616.001997	1616.002053	5
7-M2-control	ced6c209	emptyloop	head	fixed	ir	-	instructions:u	618103.000000	617525.000000	619048.000000	5
7-M2-control	ced6c209	emptyloop	head	per_pass_gap	ir-tw	-	instructions:u	100.000003	99.999955	100.000061	5
7-M2-control	ced6c209	emptyloop	head	arm_ratio	ir/tw	small	cycles:u	1.040421	1.038721	1.056679	5
