task	commit	axis	build	scope	arm	size	instrument	value_median	value_min	value_max	value_rounds
3	8bcf6375e	alloc4c	pinned>head	across_builds	ir	large	instructions:u	0.999628	0.999585	0.999659	5
3	8bcf6375e	alloc4c	pinned>head	across_builds	tw	small	cycles:u	0.976819	0.962409	1.030714	5
3	8bcf6375e	alloc4c	pinned>head	across_builds	ir	small	cycles:u	0.982827	0.962670	1.031475	5
3	8bcf6375e	alloc4c	pinned>head	across_builds	tw	large	cycles:u	0.975190	0.973996	0.995138	5
3	8bcf6375e	alloc4c	pinned>head	across_builds	ir	large	cycles:u	0.978752	0.971084	0.998844	5
3	8bcf6375e	arith	pinned	arm_ratio	ir/tw	small	instructions:u	0.923306	0.921771	0.923327	5
3	8bcf6375e	arith	pinned	absolute	tw	small	instructions:u	6935553434.000000	6935330818.000000	6936625872.000000	5
3	8bcf6375e	arith	pinned	absolute	ir	small	instructions:u	6403674491.000000	6392786918.000000	6403758390.000000	5
3	8bcf6375e	arith	pinned	arm_ratio	ir/tw	large	instructions:u	0.912492	0.911117	0.913829	5
3	8bcf6375e	arith	pinned	absolute	tw	large	instructions:u	13763662312.000000	13743721409.000000	13765538679.000000	5
3	8bcf6375e	arith	pinned	absolute	ir	large	instructions:u	12559328228.000000	12538545193.000000	12559727540.000000	5
3	8bcf6375e	arith	pinned	per_pass	tw	-	instructions:u	27308.145760	27232.791840	27319.494220	5
3	8bcf6375e	arith	pinned	fixed	tw	-	instructions:u	108933743.000000	105791569.000000	127325489.000000	5
3	8bcf6375e	arith	pinned	per_pass	ir	-	instructions:u	24622.602236	24583.033100	24624.212196	5
3	8bcf6375e	arith	pinned	fixed	ir	-	instructions:u	247976216.000000	247028643.000000	250093633.000000	5
3	8bcf6375e	arith	pinned	per_pass_gap	ir-tw	-	instructions:u	-2690.137316	-2722.555200	-2610.189604	5
3	8bcf6375e	arith	pinned	arm_ratio	ir/tw	small	cycles:u	0.934416	0.929183	0.938187	5
3	8bcf6375e	arith	pinned	absolute	tw	small	cycles:u	2212093146.000000	2207765693.000000	2224931690.000000	5
3	8bcf6375e	arith	pinned	absolute	ir	small	cycles:u	2068240783.000000	2067014849.000000	2074007349.000000	5
3	8bcf6375e	arith	pinned	arm_ratio	ir/tw	large	cycles:u	0.921072	0.909721	0.928077	5
3	8bcf6375e	arith	pinned	absolute	tw	large	cycles:u	4345486988.000000	4325310790.000000	4415929732.000000	5
3	8bcf6375e	arith	pinned	absolute	ir	large	cycles:u	4014222405.000000	3987807569.000000	4026004961.000000	5
3	8bcf6375e	arith	pinned	per_pass	tw	-	cycles:u	8539.329796	8452.870576	8832.656156	5
3	8bcf6375e	arith	pinned	fixed	tw	-	cycles:u	77275395.000000	-398346.000000	98875502.000000	5
3	8bcf6375e	arith	pinned	per_pass	ir	-	cycles:u	7788.830224	7681.751440	7807.990448	5
3	8bcf6375e	arith	pinned	fixed	ir	-	cycles:u	122009737.000000	119218834.000000	146931849.000000	5
3	8bcf6375e	arith	pinned	per_pass_gap	ir-tw	-	cycles:u	-787.831876	-1036.568360	-664.040352	5
3	8bcf6375e	arith	head	arm_ratio	ir/tw	small	instructions:u	0.923190	0.923038	0.923337	5
3	8bcf6375e	arith	head	absolute	tw	small	instructions:u	6937229391.000000	6935975673.000000	6938000265.000000	5
3	8bcf6375e	arith	head	absolute	ir	small	instructions:u	6404240707.000000	6403323414.000000	6404394580.000000	5
3	8bcf6375e	arith	head	arm_ratio	ir/tw	large	instructions:u	0.912484	0.911913	0.914363	5
3	8bcf6375e	arith	head	absolute	tw	large	instructions:u	13764683701.000000	13743989519.000000	13796377586.000000	5
3	8bcf6375e	arith	head	absolute	ir	large	instructions:u	12560425902.000000	12560051875.000000	12583614394.000000	5
3	8bcf6375e	arith	head	per_pass	tw	-	instructions:u	27309.760332	27227.040512	27441.607652	5
3	8bcf6375e	arith	head	fixed	tw	-	instructions:u	109803535.000000	75573760.000000	130469263.000000	5
3	8bcf6375e	arith	head	per_pass	ir	-	instructions:u	24627.701044	24622.629180	24717.040432	5
3	8bcf6375e	arith	head	fixed	ir	-	instructions:u	246398153.000000	225094178.000000	248737285.000000	5
3	8bcf6375e	arith	head	per_pass_gap	ir-tw	-	instructions:u	-2687.131152	-2734.182488	-2583.250560	5
3	8bcf6375e	arith	head	arm_ratio	ir/tw	small	cycles:u	0.937097	0.918662	0.942769	5
3	8bcf6375e	arith	head	absolute	tw	small	cycles:u	2212163052.000000	2209953273.000000	2248742817.000000	5
3	8bcf6375e	arith	head	absolute	ir	small	cycles:u	2072862566.000000	2065834323.000000	2083475921.000000	5
3	8bcf6375e	arith	head	arm_ratio	ir/tw	large	cycles:u	0.922970	0.908121	0.937157	5
3	8bcf6375e	arith	head	absolute	tw	large	cycles:u	4361423267.000000	4352310339.000000	4426189896.000000	5
3	8bcf6375e	arith	head	absolute	ir	large	cycles:u	4037052420.000000	4019516689.000000	4078993509.000000	5
3	8bcf6375e	arith	head	per_pass	tw	-	cycles:u	8605.879976	8414.270088	8856.107376	5
3	8bcf6375e	arith	head	fixed	tw	-	cycles:u	58483279.000000	-1863792.000000	145175295.000000	5
3	8bcf6375e	arith	head	per_pass	ir	-	cycles:u	7856.759416	7751.212244	8033.093600	5
3	8bcf6375e	arith	head	fixed	ir	-	cycles:u	108672712.000000	57560923.000000	143910567.000000	5
3	8bcf6375e	arith	head	per_pass_gap	ir-tw	-	cycles:u	-837.928656	-1104.895132	-381.176488	5
3	8bcf6375e	arith	pinned>head	across_builds	tw	small	instructions:u	1.000248	1.000061	1.000337	5
3	8bcf6375e	arith	pinned>head	across_builds	ir	small	instructions:u	1.000092	0.999945	1.001809	5
3	8bcf6375e	arith	pinned>head	across_builds	tw	large	instructions:u	1.000237	0.998571	1.002370	5
3	8bcf6375e	arith	pinned>head	across_builds	ir	large	instructions:u	1.000242	1.000041	1.003594	5
3	8bcf6375e	arith	pinned>head	across_builds	tw	small	cycles:u	1.000610	0.993268	1.014496	5
3	8bcf6375e	arith	pinned>head	across_builds	ir	small	cycles:u	1.001373	0.997414	1.007791	5
3	8bcf6375e	arith	pinned>head	across_builds	tw	large	cycles:u	1.003332	0.985641	1.023323	5
3	8bcf6375e	arith	pinned>head	across_builds	ir	large	cycles:u	1.009443	1.001319	1.019680	5
3	8bcf6375e	compound	pinned	arm_ratio	ir/tw	small	instructions:u	0.727906	0.727889	0.727936	5
3	8bcf6375e	compound	pinned	absolute	tw	small	instructions:u	7506597510.000000	7506411725.000000	7506740922.000000	5
3	8bcf6375e	compound	pinned	absolute	ir	small	instructions:u	5464063326.000000	5464020944.000000	5464203649.000000	5
3	8bcf6375e	compound	pinned	arm_ratio	ir/tw	large	instructions:u	0.725091	0.725086	0.725103	5
3	8bcf6375e	compound	pinned	absolute	tw	large	instructions:u	14860362806.000000	14860326375.000000	14860401957.000000	5
3	8bcf6375e	compound	pinned	absolute	ir	large	instructions:u	10775109811.000000	10775076200.000000	10775270617.000000	5
3	8bcf6375e	compound	pinned	per_pass	tw	-	instructions:u	2941.521779	2941.441650	2941.585573	5
3	8bcf6375e	compound	pinned	fixed	tw	-	instructions:u	152793063.000000	152447793.000000	153125563.999999	5
3	8bcf6375e	compound	pinned	per_pass	ir	-	instructions:u	2124.425646	2124.369708	2124.482916	5
3	8bcf6375e	compound	pinned	fixed	ir	-	instructions:u	152993880.000000	152856035.000001	153261269.000000	5
3	8bcf6375e	compound	pinned	per_pass_gap	ir-tw	-	instructions:u	-817.105315	-817.215864	-816.958734	5
3	8bcf6375e	compound	pinned	arm_ratio	ir/tw	small	cycles:u	0.661504	0.613553	0.666230	5
3	8bcf6375e	compound	pinned	absolute	tw	small	cycles:u	1658600798.000000	1645363553.000000	1777940986.000000	5
3	8bcf6375e	compound	pinned	absolute	ir	small	cycles:u	1090860414.000000	1086282147.000000	1097171734.000000	5
3	8bcf6375e	compound	pinned	arm_ratio	ir/tw	large	cycles:u	0.653955	0.646927	0.659681	5
3	8bcf6375e	compound	pinned	absolute	tw	large	cycles:u	3244565417.000000	3225631911.000000	3253886707.000000	5
3	8bcf6375e	compound	pinned	absolute	ir	large	cycles:u	2123162702.000000	2086747387.000000	2146526063.000000	5
3	8bcf6375e	compound	pinned	per_pass	tw	-	cycles:u	632.660500	586.649772	642.961991	5
3	8bcf6375e	compound	pinned	fixed	tw	-	cycles:u	76949549.000000	37958576.000000	311316555.000000	5
3	8bcf6375e	compound	pinned	per_pass	ir	-	cycles:u	410.396387	400.186096	422.403735	5
3	8bcf6375e	compound	pinned	fixed	ir	-	cycles:u	69504626.000000	34507387.000000	85816907.000000	5
3	8bcf6375e	compound	pinned	per_pass_gap	ir-tw	-	cycles:u	-220.402750	-230.573015	-178.107457	5
3	8bcf6375e	compound	head	arm_ratio	ir/tw	small	instructions:u	0.727910	0.727870	0.727924	5
3	8bcf6375e	compound	head	absolute	tw	small	instructions:u	7507305838.000000	7506989871.000000	7507556083.000000	5
3	8bcf6375e	compound	head	absolute	ir	small	instructions:u	5464588197.000000	5464411849.000000	5464766225.000000	5
3	8bcf6375e	compound	head	arm_ratio	ir/tw	large	instructions:u	0.725108	0.725099	0.725130	5
3	8bcf6375e	compound	head	absolute	tw	large	instructions:u	14860940400.000000	14860783777.000000	14861166718.000000	5
3	8bcf6375e	compound	head	absolute	ir	large	instructions:u	10775794608.000000	10775701640.000000	10776034416.000000	5
3	8bcf6375e	compound	head	per_pass	tw	-	instructions:u	2941.451248	2941.353727	2941.544352	5
3	8bcf6375e	compound	head	fixed	tw	-	instructions:u	153697808.000000	153150848.000000	154171766.000000	5
3	8bcf6375e	compound	head	per_pass	ir	-	instructions:u	2124.471864	2124.411353	2124.649027	5
3	8bcf6375e	compound	head	fixed	ir	-	instructions:u	153354512.000000	152789282.000001	153737842.000000	5
3	8bcf6375e	compound	head	per_pass_gap	ir-tw	-	instructions:u	-816.971882	-817.050878	-816.881862	5
3	8bcf6375e	compound	head	arm_ratio	ir/tw	small	cycles:u	0.672489	0.598992	0.685321	5
3	8bcf6375e	compound	head	absolute	tw	small	cycles:u	1563127088.000000	1562903182.000000	1764342733.000000	5
3	8bcf6375e	compound	head	absolute	ir	small	cycles:u	1056826833.000000	1051186110.000000	1071237413.000000	5
3	8bcf6375e	compound	head	arm_ratio	ir/tw	large	cycles:u	0.670685	0.662993	0.676077	5
3	8bcf6375e	compound	head	absolute	tw	large	cycles:u	3048261105.000000	3046913604.000000	3087241921.000000	5
3	8bcf6375e	compound	head	absolute	ir	large	cycles:u	2056046766.000000	2043519268.000000	2059997273.000000	5
3	8bcf6375e	compound	head	per_pass	tw	-	cycles:u	593.633514	521.380711	604.183342	5
3	8bcf6375e	compound	head	fixed	tw	-	cycles:u	78819397.000000	66325209.000000	460890956.000000	5
3	8bcf6375e	compound	head	per_pass	ir	-	cycles:u	398.627434	388.912742	403.012920	5
3	8bcf6375e	compound	head	fixed	ir	-	cycles:u	57606900.000000	43653810.000000	98955558.000000	5
3	8bcf6375e	compound	head	per_pass_gap	ir-tw	-	cycles:u	-195.006080	-205.989545	-121.692738	5
3	8bcf6375e	compound	pinned>head	across_builds	tw	small	instructions:u	1.000078	1.000069	1.000144	5
3	8bcf6375e	compound	pinned>head	across_builds	ir	small	instructions:u	1.000101	1.000041	1.000107	5
3	8bcf6375e	compound	pinned>head	across_builds	tw	large	instructions:u	1.000040	1.000030	1.000051	5
3	8bcf6375e	compound	pinned>head	across_builds	ir	large	instructions:u	1.000057	1.000045	1.000086	5
3	8bcf6375e	compound	pinned>head	across_builds	tw	small	cycles:u	0.942302	0.886859	1.072312	5
3	8bcf6375e	compound	pinned>head	across_builds	ir	small	cycles:u	0.964091	0.963768	0.986150	5
3	8bcf6375e	compound	pinned>head	across_builds	tw	large	cycles:u	0.943133	0.936806	0.951512	5
3	8bcf6375e	compound	pinned>head	across_builds	ir	large	cycles:u	0.969040	0.959093	0.979284	5
3	8bcf6375e	emptyloop	pinned	arm_ratio	ir/tw	small	instructions:u	0.851089	0.851030	0.851099	5
3	8bcf6375e	emptyloop	pinned	absolute	tw	small	instructions:u	5539214024.000000	5539062705.000000	5539297857.000000	5
3	8bcf6375e	emptyloop	pinned	absolute	ir	small	instructions:u	4714289144.000000	4714077423.000000	4714447491.000000	5
3	8bcf6375e	emptyloop	pinned	arm_ratio	ir/tw	large	instructions:u	0.849006	0.848963	0.849031	5
3	8bcf6375e	emptyloop	pinned	absolute	tw	large	instructions:u	10926831253.000000	10926481736.000000	10926986286.000000	5
3	8bcf6375e	emptyloop	pinned	absolute	ir	large	instructions:u	9276917875.000000	9276610619.000000	9277111661.000000	5
3	8bcf6375e	emptyloop	pinned	per_pass	tw	-	instructions:u	431.012731	430.993522	431.021781	5
3	8bcf6375e	emptyloop	pinned	fixed	tw	-	instructions:u	151599961.000000	151441762.000000	151792877.000000	5
3	8bcf6375e	emptyloop	pinned	per_pass	ir	-	instructions:u	365.010352	364.979608	365.024870	5
3	8bcf6375e	emptyloop	pinned	fixed	ir	-	instructions:u	151659747.000000	151296129.000000	152120417.000000	5
3	8bcf6375e	emptyloop	pinned	per_pass_gap	ir-tw	-	instructions:u	-65.999597	-66.042173	-65.975529	5
3	8bcf6375e	emptyloop	pinned	arm_ratio	ir/tw	small	cycles:u	0.812751	0.806972	0.816575	5
3	8bcf6375e	emptyloop	pinned	absolute	tw	small	cycles:u	979642634.000000	976305196.000000	986716636.000000	5
3	8bcf6375e	emptyloop	pinned	absolute	ir	small	cycles:u	796205328.000000	790916468.000000	805727907.000000	5
3	8bcf6375e	emptyloop	pinned	arm_ratio	ir/tw	large	cycles:u	0.802443	0.800718	0.804086	5
3	8bcf6375e	emptyloop	pinned	absolute	tw	large	cycles:u	1896700896.000000	1888695949.000000	1898791593.000000	5
3	8bcf6375e	emptyloop	pinned	absolute	ir	large	cycles:u	1522414322.000000	1515570453.000000	1525110986.000000	5
3	8bcf6375e	emptyloop	pinned	per_pass	tw	-	cycles:u	73.176557	72.687381	73.643248	5
3	8bcf6375e	emptyloop	pinned	fixed	tw	-	cycles:u	64260574.000000	55764600.000000	76732376.000000	5
3	8bcf6375e	emptyloop	pinned	per_pass	ir	-	cycles:u	57.972319	57.550646	58.461145	5
3	8bcf6375e	emptyloop	pinned	fixed	ir	-	cycles:u	69996334.000000	60942498.000000	86344828.000000	5
3	8bcf6375e	emptyloop	pinned	per_pass_gap	ir-tw	-	cycles:u	-15.248094	-15.895809	-14.715062	5
3	8bcf6375e	emptyloop	head	arm_ratio	ir/tw	small	instructions:u	0.851078	0.851023	0.851131	5
3	8bcf6375e	emptyloop	head	absolute	tw	small	instructions:u	5539836501.000000	5539662059.000000	5540073906.000000	5
