task	commit	axis	build	scope	arm	size	instrument	value_median	value_min	value_max	value_rounds
pre-phase-5-baseline	b029abe77	arith	pinned	per_pass	ir	-	cycles:u	12939.911228	12800.917180	13006.792684	5
pre-phase-5-baseline	b029abe77	arith	pinned	fixed	ir	-	cycles:u	62265393.000000	28157801.000000	88959245.000000	5
pre-phase-5-baseline	b029abe77	arith	pinned	per_pass_gap	ir-tw	-	cycles:u	213.918352	-3.149444	334.582176	5
pre-phase-5-baseline	b029abe77	compound	pinned	arm_ratio	ir/tw	small	instructions:u	0.925071	0.925046	0.925090	5
pre-phase-5-baseline	b029abe77	compound	pinned	absolute	tw	small	instructions:u	9805787477.000000	9805197703.000000	9806609278.000000	5
pre-phase-5-baseline	b029abe77	compound	pinned	absolute	ir	small	instructions:u	9070917061.000000	9070508805.000000	9071564359.000000	5
pre-phase-5-baseline	b029abe77	compound	pinned	arm_ratio	ir/tw	large	instructions:u	0.925025	0.925008	0.925053	5
pre-phase-5-baseline	b029abe77	compound	pinned	absolute	tw	large	instructions:u	19609179488.000000	19607999489.000000	19610461024.000000	5
pre-phase-5-baseline	b029abe77	compound	pinned	absolute	ir	large	instructions:u	18139078519.000000	18137897580.000000	18139898291.000000	5
pre-phase-5-baseline	b029abe77	compound	pinned	per_pass	tw	-	instructions:u	3921.466640	3920.883974	3921.776586	5
pre-phase-5-baseline	b029abe77	compound	pinned	fixed	tw	-	instructions:u	1846288.000000	756238.000000	4399344.000000	5
pre-phase-5-baseline	b029abe77	compound	pinned	per_pass	ir	-	instructions:u	3627.376839	3626.792208	3627.467927	5
pre-phase-5-baseline	b029abe77	compound	pinned	fixed	ir	-	instructions:u	3014097.000000	1939091.000000	4051530.000000	5
pre-phase-5-baseline	b029abe77	compound	pinned	per_pass_gap	ir-tw	-	instructions:u	-294.092597	-294.399254	-293.878842	5
pre-phase-5-baseline	b029abe77	compound	pinned	arm_ratio	ir/tw	small	cycles:u	0.926630	0.920390	0.946535	5
