task	commit	axis	build	scope	arm	size	instrument	value_median	value_min	value_max	value_rounds
3	71153941a	alloc4c	head	per_pass	tw	-	instructions:u	5866.642306	5866.255206	5866.945858	5
3	71153941a	alloc4c	head	fixed	tw	-	instructions:u	19236414.000000	19149084.000000	19532248.000000	5
3	71153941a	alloc4c	head	per_pass	ir	-	instructions:u	4155.403708	4155.248562	4155.840748	5
3	71153941a	alloc4c	head	fixed	ir	-	instructions:u	19460277.000000	19118709.000000	19532445.000000	5
3	71153941a	alloc4c	head	per_pass_gap	ir-tw	-	instructions:u	-1711.163540	-1711.697296	-1710.414458	5
3	71153941a	alloc4c	head	arm_ratio	ir/tw	small	cycles:u	0.730869	0.691765	0.766254	5
3	71153941a	alloc4c	head	absolute	tw	small	cycles:u	1013920098.000000	975465936.000000	1040544301.000000	5
3	71153941a	alloc4c	head	absolute	ir	small	cycles:u	722736761.000000	708578691.000000	790025715.000000	5
3	71153941a	alloc4c	head	arm_ratio	ir/tw	large	cycles:u	0.752970	0.748084	0.784671	5
3	71153941a	alloc4c	head	absolute	tw	large	cycles:u	2265370216.000000	2250512395.000000	2388879219.000000	5
3	71153941a	alloc4c	head	absolute	ir	large	cycles:u	1765911350.000000	1691889458.000000	1787082927.000000	5
3	71153941a	alloc4c	head	per_pass	tw	-	cycles:u	2505.679402	2449.651830	2800.011758	5
3	71153941a	alloc4c	head	fixed	tw	-	cycles:u	-224810879.000000	-411132539.000000	-184281614.000000	5
3	71153941a	alloc4c	head	per_pass	ir	-	cycles:u	2114.665318	1831.461718	2128.692332	5
3	71153941a	alloc4c	head	fixed	ir	-	cycles:u	-341609405.000000	-353072013.000000	-125705144.000000	5
3	71153941a	alloc4c	head	per_pass_gap	ir-tw	-	cycles:u	-618.190112	-683.444476	-358.519276	5
3	71153941a	alloc4c	base>control	across_builds	tw	small	instructions:u	1.000023	0.999851	1.000098	5
3	71153941a	alloc4c	base>control	across_builds	ir	small	instructions:u	0.999360	0.999294	0.999409	5
3	71153941a	alloc4c	base>control	across_builds	tw	large	instructions:u	1.000000	0.999964	1.000026	5
3	71153941a	alloc4c	base>control	across_builds	ir	large	instructions:u	0.999246	0.999231	0.999278	5
3	71153941a	alloc4c	base>control	across_builds	tw	small	cycles:u	1.023845	0.954228	1.034965	5
3	71153941a	alloc4c	base>control	across_builds	ir	small	cycles:u	0.985408	0.954176	1.013546	5
